pred_date,itemkind,price_pred,itemnm,kindnm
2021-09-23,고구마-밤(1kg),3764.3182196241637,고구마,밤(1kg)
2021-09-24,고구마-밤(1kg),3735.3209322365988,고구마,밤(1kg)
2021-09-25,고구마-밤(1kg),3648.3215084025164,고구마,밤(1kg)
2021-09-26,고구마-밤(1kg),3164.8157858204445,고구마,밤(1kg)
2021-09-27,고구마-밤(1kg),3691.032473523362,고구마,밤(1kg)
2021-09-28,고구마-밤(1kg),3669.2944646768206,고구마,밤(1kg)
2021-09-29,고구마-밤(1kg),3657.8929075490237,고구마,밤(1kg)
2021-09-30,고구마-밤(1kg),3648.204672913272,고구마,밤(1kg)
2021-10-01,고구마-밤(1kg),3631.665987682902,고구마,밤(1kg)
2021-10-02,고구마-밤(1kg),3557.4887448311006,고구마,밤(1kg)
2021-10-03,고구마-밤(1kg),3086.4968463684436,고구마,밤(1kg)
2021-10-04,고구마-밤(1kg),3626.4310341604714,고구마,밤(1kg)
2021-10-05,고구마-밤(1kg),3617.413929333761,고구마,밤(1kg)
2021-10-06,고구마-밤(1kg),3618.1984649579217,고구마,밤(1kg)
2021-10-07,고구마-밤(1kg),3619.9280009771546,고구마,밤(1kg)
2021-10-08,고구마-밤(1kg),3613.8261714922905,고구마,밤(1kg)
2021-10-09,고구마-밤(1kg),3548.865078482588,고구마,밤(1kg)
2021-10-10,고구마-밤(1kg),3085.2975769570676,고구마,밤(1kg)
2021-10-11,고구마-밤(1kg),3632.5135442574147,고구마,밤(1kg)
2021-10-12,고구마-밤(1kg),3628.6046247967106,고구마,밤(1kg)
2021-10-13,고구마-밤(1kg),3632.9822074172444,고구마,밤(1kg)
2021-10-14,고구마-밤(1kg),3636.7747151868084,고구마,밤(1kg)
2021-09-17,양배추-양배추(1kg),1153.3082916111773,양배추,양배추(1kg)
2021-09-18,양배추-양배추(1kg),1140.1230582679393,양배추,양배추(1kg)
2021-09-19,양배추-양배추(1kg),1478.128210843607,양배추,양배추(1kg)
2021-09-20,양배추-양배추(1kg),1199.780696556291,양배추,양배추(1kg)
2021-09-21,양배추-양배추(1kg),1190.893592567918,양배추,양배추(1kg)
2021-09-22,양배추-양배추(1kg),1184.0185406429423,양배추,양배추(1kg)
2021-09-23,양배추-양배추(1kg),1187.0833458473926,양배추,양배추(1kg)
2021-09-24,양배추-양배추(1kg),1190.806418671329,양배추,양배추(1kg)
2021-09-25,양배추-양배추(1kg),1174.1961734505146,양배추,양배추(1kg)
2021-09-26,양배추-양배추(1kg),1508.6194071532002,양배추,양배추(1kg)
2021-09-27,양배추-양배추(1kg),1226.8695649752003,양배추,양배추(1kg)
2021-09-28,양배추-양배추(1kg),1214.5690801546755,양배추,양배추(1kg)
2021-09-29,양배추-양배추(1kg),1204.3940492220725,양배추,양배추(1kg)
2021-09-30,양배추-양배추(1kg),1204.3102031310536,양배추,양배추(1kg)
2021-10-01,양배추-양배추(1kg),1205.0689046456203,양배추,양배추(1kg)
2021-10-02,양배추-양배추(1kg),1185.7048222415647,양배추,양배추(1kg)
2021-10-03,양배추-양배추(1kg),1517.491077336696,양배추,양배추(1kg)
2021-10-04,양배추-양배추(1kg),1233.4936775447609,양배추,양배추(1kg)
2021-10-05,양배추-양배추(1kg),1219.0790979093972,양배추,양배추(1kg)
2021-10-06,양배추-양배추(1kg),1206.9833906755607,양배추,양배추(1kg)
2021-10-07,양배추-양배추(1kg),1205.1486099461385,양배추,양배추(1kg)
2021-10-08,양배추-양배추(1kg),1204.3022719866806,양배추,양배추(1kg)
2021-10-09,양배추-양배추(1kg),1183.4549846964405,양배추,양배추(1kg)
2021-10-10,양배추-양배추(1kg),1513.7437698838871,양배추,양배추(1kg)
2021-10-11,양배추-양배추(1kg),1228.4737606964636,양배추,양배추(1kg)
2021-10-12,양배추-양배추(1kg),1212.7317843446174,양배추,양배추(1kg)
2021-10-13,양배추-양배추(1kg),1199.3003146297015,양배추,양배추(1kg)
2021-10-14,양배추-양배추(1kg),1196.0944023246689,양배추,양배추(1kg)
2021-09-17,시금치-시금치(1kg),7435.227531037499,시금치,시금치(1kg)
2021-09-18,시금치-시금치(1kg),7489.414825095545,시금치,시금치(1kg)
